country,productline,sells,,,,,,,,,,,,,SQL QUERY RESULT,
USA,Classic Cars,10937,,,,,,,,,,,,,,
Switzerland,Classic Cars,1078,,,,,,,,,,,,,,
Spain,Classic Cars,3980,,,,,,,,,,,,,,
Singapore,Classic Cars,913,,,,,,,,,,,,,,
Norway,Trucks and Buses,308,,,,,,,,,,,,,,
Italy,Vintage Cars,1303,,,,,,,,,,,,,,
Ireland,Classic Cars,146,,,,,,,,,,,,,,
Germany,Classic Cars,1202,,,,,,,,,,,,,,
France,Classic Cars,3381,,,,,,,,,,,,,,
Finland,Classic Cars,624,,,,,,,,,,,,,,
Denmark,Classic Cars,1154,,,,,,,,,,,,,,
Austria,Classic Cars,937,,,,,,,,,,,,,,
Australia,Vintage Cars,1945,,,,,,,,,,,,,,
