Country,Product Name,Total Order,rank
Australia,1913 Ford Model T Speedster,231,1
Austria,1969 Dodge Charger,128,1
Denmark,1948 Porsche Type 356 Roadster,101,1
Finland,1992 Ferrari 360 Spider red,107,1
France,2002 Yamaha YZR M1,278,1
Germany,1971 Alpine Renault 1600s,117,1
Ireland,1970 Triumph Spitfire,50,1
Italy,American Airlines: MD-11S,130,1
Norway,1974 Ducati 350 Mk3 Desmo,50,1
Singapore,1940s Ford truck,128,1
Spain,1992 Ferrari 360 Spider red,336,1
Switzerland,1948 Porsche 356-A Roadster,91,1
USA,2002 Suzuki XREO,499,1
